Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 03:16:15.187790
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 03:21:19.365517
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 03:26:23.610950
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 03:31:27.856370
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 03:36:32.110722
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 03:41:36.371017
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 03:46:40.544393
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 03:51:44.811673
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 03:56:49.119949
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 04:01:53.476810
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 04:06:57.968253
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 04:12:01.739508
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 04:17:05.957812
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 04:22:10.183780
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 04:27:14.462893
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 04:32:18.743769
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 04:37:22.958682
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 04:42:27.210307
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 04:47:31.516070
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 04:52:35.776560
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 04:57:40.142831
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 05:02:44.500676
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 05:07:48.618312
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 05:12:52.886542
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 05:17:57.204328
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 05:23:01.682765
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 05:28:06.060275
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 05:33:10.486081
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 05:38:14.828330
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 05:43:19.177383
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 05:48:23.453790
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 05:53:27.755756
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 05:58:32.143548
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 06:03:36.457601
,,Moldova,591,,8,,26,557,65,147,2,169.0,42.0,2020-04-04 06:08:40.964568
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 06:13:45.300584
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 06:18:49.713431
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 06:23:53.862539
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 06:28:58.309875
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 06:34:02.606354
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 06:39:06.983057
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 06:44:11.357405
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 06:49:15.701560
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 06:54:19.988720
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 06:59:24.371691
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 07:04:28.777480
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 07:09:33.095962
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 07:14:37.559243
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 07:19:41.901833
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 07:24:46.114033
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 07:29:50.587466
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 07:34:54.877214
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 07:39:59.188119
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 07:45:03.498819
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 07:50:07.872567
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 07:55:12.158356
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 08:00:16.597732
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 08:05:21.054389
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 08:10:25.598047
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 08:15:30.025858
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 08:20:34.416416
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 08:25:38.990689
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 08:30:43.420659
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 08:35:47.870639
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 08:40:52.361130
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 08:45:56.719918
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 08:51:00.980276
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 08:56:05.342012
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 09:01:09.974928
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 09:06:14.215607
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 09:11:18.523344
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 09:16:23.141165
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 09:21:27.562783
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 09:26:31.868044
,,Moldova,591,,10,2.0,26,555,65,147,2,169.0,42.0,2020-04-04 09:31:36.275953
,,Moldova,752,161.0,10,2.0,26,716,65,186,2,169.0,42.0,2020-04-04 09:36:40.657518
,,Moldova,752,161.0,10,2.0,26,716,65,186,2,169.0,42.0,2020-04-04 09:41:45.085791
,,Moldova,752,161.0,10,2.0,26,716,65,186,2,169.0,42.0,2020-04-04 09:46:50.458957
,,Moldova,752,161.0,10,2.0,26,716,65,186,2,169.0,42.0,2020-04-04 09:51:55.007261
,,Moldova,752,161.0,10,2.0,26,716,65,186,2,169.0,42.0,2020-04-04 09:56:59.529333
,,Moldova,752,161.0,10,2.0,26,716,65,186,2,169.0,42.0,2020-04-04 10:02:04.020390
,,Moldova,752,161.0,10,2.0,26,716,65,186,2,169.0,42.0,2020-04-04 10:07:08.822708
,,Moldova,752,161.0,10,2.0,26,716,65,186,2,169.0,42.0,2020-04-04 10:12:13.128091
,,Moldova,752,161.0,10,2.0,26,716,65,186,2,169.0,42.0,2020-04-04 10:17:17.807501
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 10:22:21.728466
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 10:27:26.261627
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 10:32:31.199924
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 10:37:35.603730
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 10:42:39.950827
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 10:47:44.444104
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 10:52:48.903519
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 10:57:53.372188
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 11:02:57.837668
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 11:08:02.444459
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 11:13:06.966926
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 11:18:11.457363
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 11:23:15.927821
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 11:28:20.676651
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 11:33:25.153565
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 11:38:29.645101
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 11:43:34.277537
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 11:48:39.162063
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 11:53:43.636590
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 11:58:48.161075
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 12:03:52.440826
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 12:08:56.902695
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 12:14:01.388383
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 12:19:05.961492
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 12:24:10.542887
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 12:29:15.162136
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 12:34:19.752827
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 12:39:24.328821
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 12:44:28.911935
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 12:49:33.402634
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 12:54:38.003163
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 12:59:42.611535
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 13:04:47.159136
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 13:09:51.638941
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 13:14:56.171918
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 13:20:00.671371
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 13:25:05.163948
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 13:30:09.566612
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 13:35:14.086651
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 13:40:18.474848
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 13:45:22.835783
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 13:50:27.432455
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 13:55:31.784464
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 14:00:36.582195
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 14:05:40.961049
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 14:10:45.323472
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 14:15:49.628389
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 14:20:54.102134
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 14:25:58.735552
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,169.0,42.0,2020-04-04 14:31:03.531384
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 14:36:08.023256
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 14:41:12.592294
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 14:46:17.126649
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 14:51:21.543164
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 14:56:26.129525
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 15:01:30.527910
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 15:06:35.180338
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 15:11:39.614652
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 15:16:44.272920
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 15:21:48.811498
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 15:26:53.351172
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 15:31:58.300935
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 15:37:03.084842
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 15:42:07.618716
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 15:47:12.179422
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 15:52:16.808069
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 15:57:21.376369
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 16:02:26.109794
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 16:07:30.695831
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 16:12:35.321653
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 16:17:40.065136
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 16:22:44.528926
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 16:27:49.206165
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 16:32:53.749559
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 16:37:58.338058
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 16:43:02.922392
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 16:48:07.593338
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 16:53:12.409226
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 16:58:16.854803
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 17:03:21.677699
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 17:08:26.308967
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 17:13:30.929203
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 17:18:35.466199
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 17:23:40.150059
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 17:28:44.696201
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 17:33:49.390684
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 17:38:53.973061
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 17:43:58.507428
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 17:49:03.036864
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 17:54:08.232524
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 17:59:12.679497
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 18:04:17.296899
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 18:09:22.015243
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 18:14:26.855432
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 18:19:31.619889
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 18:24:36.267763
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 18:29:41.034236
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 18:34:45.628035
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 18:39:50.277150
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 18:44:54.905896
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 18:49:59.604382
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 18:55:04.243883
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 19:00:08.754891
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 19:05:13.461319
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 19:10:18.193111
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 19:15:22.852596
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 19:20:27.418055
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 19:25:32.123623
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 19:30:36.767737
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 19:35:41.565069
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 19:40:46.155744
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 19:45:50.821780
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 19:50:55.505018
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 19:56:00.029898
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 20:01:04.714115
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 20:06:09.562833
,,Moldova,752,161.0,12,4.0,29,711,65,186,3,681.0,169.0,2020-04-04 20:11:14.244764
,,Moldova,752,,12,,29,711,65,186,3,681.0,169.0,2020-04-04 20:16:18.887515
,,Moldova,752,,12,,29,711,65,186,3,681.0,169.0,2020-04-04 20:21:23.527924
,,Moldova,752,,12,,29,711,65,186,3,681.0,169.0,2020-04-04 20:26:27.677436
,,Moldova,752,,12,,29,711,65,186,3,681.0,169.0,2020-04-04 20:31:33.371636
,,Moldova,752,,12,,29,711,65,186,3,681.0,169.0,2020-04-04 20:37:08.829466
,,Moldova,752,,12,,29,711,65,186,3,681.0,169.0,2020-04-04 20:42:27.224088
,,Moldova,752,,12,,29,711,65,186,3,681.0,169.0,2020-04-04 20:47:37.951606
,,Moldova,752,,12,,29,711,65,186,3,681.0,169.0,2020-04-04 20:52:45.313407
,,Moldova,752,,12,,29,711,65,186,3,681.0,169.0,2020-04-04 20:58:07.390210
,,Moldova,752,,12,,29,711,65,186,3,681.0,169.0,2020-04-04 21:03:25.733951
,,Moldova,752,,12,,29,711,65,186,3,681.0,169.0,2020-04-04 21:08:51.344702
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 21:14:26.361102
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 21:20:04.719316
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 21:25:35.669936
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 21:31:07.128279
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 21:36:40.334037
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 21:42:03.662261
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 21:47:29.960691
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 21:52:46.232825
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 21:58:02.938339
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 22:03:16.262650
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 22:08:35.273468
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 22:13:54.887579
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 22:19:27.993830
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 22:24:41.755311
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 22:30:12.827463
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 22:35:35.188419
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 22:40:40.156548
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 22:45:45.215256
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 22:50:49.946884
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 22:55:54.807754
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 23:00:59.549426
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 23:06:04.249475
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 23:11:09.067661
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 23:16:13.805916
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 23:21:18.540571
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 23:26:23.268784
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 23:31:28.026557
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 23:36:32.641294
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 23:41:37.448483
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 23:46:42.125187
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 23:51:46.851787
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-04 23:56:51.629891
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-05 00:01:56.430065
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-05 00:07:01.274738
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-05 00:12:05.878973
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-05 00:17:10.583482
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-05 00:22:15.521168
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-05 00:27:20.308073
,,Moldova,752,,12,,29,711,65,186,3,,,2020-04-05 00:32:25.078472
