Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 05:33:10.486081
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 05:38:14.828330
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 05:43:19.177383
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 05:48:23.453790
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 05:53:27.755756
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 05:58:32.143548
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 06:03:36.457601
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 06:08:40.964568
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 06:13:45.300584
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 06:18:49.713431
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 06:23:53.862539
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 06:28:58.309875
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 06:34:02.606354
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 06:39:06.983057
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 06:44:11.357405
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 06:49:15.701560
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 06:54:19.988720
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 06:59:24.371691
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 07:04:28.777480
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 07:09:33.095962
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 07:14:37.559243
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 07:19:41.901833
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 07:24:46.114033
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 07:29:50.587466
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 07:34:54.877214
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 07:39:59.188119
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 07:45:03.498819
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 07:50:07.872567
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 07:55:12.158356
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 08:00:16.597732
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 08:05:21.054389
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 08:10:25.598047
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 08:15:30.025858
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 08:20:34.416416
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 08:25:38.990689
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 08:30:43.420659
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 08:35:47.870639
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 08:40:52.361130
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 08:45:56.719918
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 08:51:00.980276
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 08:56:05.342012
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 09:01:09.974928
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 09:06:14.215607
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 09:11:18.523344
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 09:16:23.141165
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 09:21:27.562783
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 09:26:31.868044
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 09:31:36.275953
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 09:36:40.657518
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 09:41:45.085791
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 09:46:50.458957
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 09:51:55.007261
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 09:56:59.529333
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 10:02:04.020390
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 10:07:08.822708
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 10:12:13.128091
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 10:17:17.807501
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 10:22:21.728466
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 10:27:26.261627
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 10:32:31.199924
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 10:37:35.603730
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 10:42:39.950827
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 10:47:44.444104
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 10:52:48.903519
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 10:57:53.372188
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 11:02:57.837668
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 11:08:02.444459
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 11:13:06.966926
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 11:18:11.457363
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 11:23:15.927821
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 11:28:20.676651
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 11:33:25.153565
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 11:38:29.645101
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 11:43:34.277537
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 11:48:39.162063
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 11:53:43.636590
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 11:58:48.161075
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 12:03:52.440826
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 12:08:56.902695
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 12:14:01.388383
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 12:19:05.961492
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 12:24:10.542887
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 12:29:15.162136
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 12:34:19.752827
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 12:39:24.328821
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 12:44:28.911935
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 12:49:33.402634
,,Papua New Guinea,1,,,,,1,,0.1,,,,2020-04-04 12:54:38.003163
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 12:59:42.611535
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 13:04:47.159136
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 13:09:51.638941
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 13:14:56.171918
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 13:20:00.671371
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 13:25:05.163948
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 13:30:09.566612
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 13:35:14.086651
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 13:40:18.474848
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 13:45:22.835783
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 13:50:27.432455
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 13:55:31.784464
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 14:00:36.582195
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 14:05:40.961049
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 14:10:45.323472
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 14:15:49.628389
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 14:20:54.102134
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 14:25:58.735552
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 14:31:03.531384
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 14:36:08.023256
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 14:41:12.592294
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 14:46:17.126649
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 14:51:21.543164
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 14:56:26.129525
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 15:01:30.527910
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 15:06:35.180338
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 15:11:39.614652
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 15:16:44.272920
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 15:21:48.811498
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 15:26:53.351172
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 15:31:58.300935
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 15:37:03.084842
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 15:42:07.618716
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 15:47:12.179422
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 15:52:16.808069
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 15:57:21.376369
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 16:02:26.109794
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 16:07:30.695831
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 16:12:35.321653
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 16:17:40.065136
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 16:22:44.528926
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 16:27:49.206165
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 16:32:53.749559
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 16:37:58.338058
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 16:43:02.922392
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 16:48:07.593338
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 16:53:12.409226
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 16:58:16.854803
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 17:03:21.677699
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 17:08:26.308967
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 17:13:30.929203
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 17:18:35.466199
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 17:23:40.150059
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 17:28:44.696201
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 17:33:49.390684
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 17:38:53.973061
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 17:43:58.507428
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 17:49:03.036864
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 17:54:08.232524
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 17:59:12.679497
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 18:04:17.296899
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 18:09:22.015243
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 18:14:26.855432
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 18:19:31.619889
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 18:24:36.267763
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 18:29:41.034236
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 18:34:45.628035
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 18:39:50.277150
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 18:44:54.905896
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 18:49:59.604382
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 18:55:04.243883
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 19:00:08.754891
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 19:05:13.461319
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 19:10:18.193111
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 19:15:22.852596
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 19:20:27.418055
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 19:25:32.123623
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 19:30:36.767737
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 19:35:41.565069
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 19:40:46.155744
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 19:45:50.821780
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 19:50:55.505018
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 19:56:00.029898
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 20:01:04.714115
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 20:06:09.562833
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 20:11:14.244764
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 20:16:18.887515
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 20:21:23.527924
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 20:26:27.677436
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 20:31:33.371636
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 20:37:08.829466
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 20:42:27.224088
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 20:47:37.951606
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 20:52:45.313407
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 20:58:07.390210
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 21:03:25.733951
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 21:08:51.344702
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 21:14:26.361102
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 21:20:04.719316
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 21:25:35.669936
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 21:31:07.128279
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 21:36:40.334037
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 21:42:03.662261
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 21:47:29.960691
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 21:52:46.232825
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 21:58:02.938339
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 22:03:16.262650
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 22:08:35.273468
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 22:13:54.887579
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 22:19:27.993830
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 22:24:41.755311
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 22:30:12.827463
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 22:35:35.188419
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 22:40:40.156548
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 22:45:45.215256
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 22:50:49.946884
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 22:55:54.807754
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 23:00:59.549426
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 23:06:04.249475
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 23:11:09.067661
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 23:16:13.805916
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 23:21:18.540571
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 23:26:23.268784
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 23:31:28.026557
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 23:36:32.641294
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 23:41:37.448483
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 23:46:42.125187
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 23:51:46.851787
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-04 23:56:51.629891
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 00:01:56.430065
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 00:07:01.274738
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 00:12:05.878973
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 00:17:10.583482
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 00:22:15.521168
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 00:27:20.308073
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 00:32:25.078472
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 00:37:29.925265
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 00:42:34.564643
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 00:47:39.355628
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 00:52:44.054701
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 00:57:48.792099
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 01:02:53.604868
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 01:07:58.485123
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 01:13:03.248145
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 01:18:08.203938
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 01:23:12.951615
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 01:28:17.727697
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 01:33:22.459594
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 01:38:27.371396
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 01:43:32.142919
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 01:48:36.920855
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 01:53:41.761427
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 01:58:46.517122
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 02:03:51.229050
,,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,2020-04-05 02:08:56.018221
